Type,Car_Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
Compass,SUV,Jeddah,Jeep,Automatic,Saudi,Full,2014,2.4,217000,25000
Tahoe,SUV,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2014,3.5,95560,80000
The 7,Sedan,Riyadh,BMW,Automatic,Gulf Arabic,Full,2015,3.6,142000,110000
Accent,Sedan,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,1.4,105000,35000
CX3,Crossover,Al-Medina,Mazda,Automatic,Saudi,Standard,2018,2.0,30000,54000
Accent,Sedan,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2017,1.6,125848,30000
Avalon,Sedan,Dammam,Toyota,Automatic,Saudi,Standard,2015,3.5,120000,66500
ES,Sedan,Riyadh,Lexus,Automatic,Other,Full,2017,3.5,34593,148000
Sonata,Sedan,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,1.0,130000,50000
Furniture,Other,Jeddah,Toyota,Automatic,Saudi,Semi Full,2019,2.7,20000,102000
Sunny,Sedan,Jeddah,Nissan,Automatic,Other,Semi Full,2019,1.5,46000,32000
Taurus,Sedan,Dammam,Ford,Automatic,Other,Full,2015,3.5,121000,82000
A3,Hatchback,Riyadh,Audi,Automatic,Saudi,Semi Full,2016,2.0,70000,68000
Elantra,Sedan,Al-Jouf,Hyundai,Automatic,Saudi,Standard,2018,2.0,170000,43000
S,Sedan,Riyadh,Mercedes,Automatic,Saudi,Semi Full,2016,4.0,35000,220000
X40,SUV,Jeddah,FAW,Automatic,Saudi,Full,2020,1.1,53000,35000
Tucson,SUV,Makkah,Hyundai,Automatic,Saudi,Semi Full,2013,2.0,213000,28000
Tahoe,SUV,Jeddah,Chevrolet,Automatic,Saudi,Semi Full,2013,5.3,172000,60000
Q7,SUV,Riyadh,Audi,Automatic,Saudi,Full,2007,7.0,180000,50000
Escalade,SUV,Dammam,Cadillac,Automatic,Other,Full,2016,6.2,114000,175000
LS,Sedan,Dammam,Lexus,Automatic,Gulf Arabic,Full,2018,3.5,55000,298000
Rio,Hatchback,Dammam,Kia,Automatic,Saudi,Full,2020,1.4,300,57000
Land Cruiser,SUV,Al-Baha,Toyota,Manual,Saudi,Semi Full,2012,6.6,109,120000
ML,SUV,Jeddah,Mercedes,Automatic,Saudi,Full,2015,3.5,125000,100000
Hilux,Pickup,Riyadh,Toyota,Manual,Saudi,Standard,2016,2.7,155000,61000
Edge,SUV,Riyadh,Ford,Automatic,Saudi,Standard,2016,3.5,105344,66500
Furniture,Other,Riyadh,Toyota,Automatic,Saudi,Semi Full,2020,2.7,76192,93500
Sierra,Pickup,Dammam,GMC,Automatic,Saudi,Standard,2018,5.3,61000,145000
Range Rover,SUV,Riyadh,Land Rover,Automatic,Gulf Arabic,Full,2019,3.0,49626,401500
Sentra,Sedan,Al-Ahsa,Nissan,Automatic,Saudi,Semi Full,2018,1.6,62000,41000
C,Sedan,Dammam,Mercedes,Automatic,Other,Semi Full,2019,2.0,35000,145000
E,Sedan,Riyadh,Mercedes,Automatic,Gulf Arabic,Full,2016,2.0,120000,135000
Camry,Sedan,Makkah,Toyota,Automatic,Saudi,Standard,2014,2.5,166400,35500
The 7,Sedan,Jeddah,BMW,Automatic,Saudi,Full,2015,3.0,110000,107000
Land Cruiser,SUV,Al-Jouf,Toyota,Automatic,Gulf Arabic,Full,2021,4.6,3000,260000
Q5,SUV,Jeddah,Audi,Automatic,Saudi,Semi Full,2018,2.0,17859,141000
CX5,SUV,Riyadh,Mazda,Automatic,Gulf Arabic,Semi Full,2020,2.5,19928,86500
Range Rover,SUV,Riyadh,Land Rover,Automatic,Other,Full,2019,5.0,1800,350000
Sunny,Sedan,Dammam,Nissan,Automatic,Saudi,Standard,2019,1.5,68000,33000
Caprice,Sedan,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2009,6.0,135000,32000
Charger,Sedan,Al-Medina,Dodge,Automatic,Saudi,Full,2012,6.4,167000,85000
The 4,Sedan,Riyadh,BMW,Automatic,Saudi,Semi Full,2015,2.0,88335,126500
Taurus,Sedan,Makkah,Ford,Automatic,Saudi,Semi Full,2016,3.5,175000,56008
E,Sedan,Riyadh,Mercedes,Automatic,Gulf Arabic,Full,2017,2.0,31000,226000
ES,Sedan,Riyadh,Lexus,Automatic,Gulf Arabic,Standard,2019,3.5,39000,150000
Prado,SUV,Al-Medina,Toyota,Automatic,Saudi,Full,2016,4.0,174000,120000
Yaris,Hatchback,Jeddah,Toyota,Automatic,Saudi,Standard,2018,1.5,195000,31000
Sonata,Sedan,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,2.4,61184,54000
ES,Sedan,Jeddah,Lexus,Automatic,Saudi,Full,2011,3.5,282000,53000
Camaro,Sports Car,Riyadh,Chevrolet,Automatic,Other,Full,2016,3.6,118993,107000
Patrol,SUV,Riyadh,Nissan,Automatic,Saudi,Semi Full,2017,5.7,93000,145000
X-Trail,SUV,Riyadh,Nissan,Automatic,Saudi,Standard,2018,2.5,30000,68000
Camry,Sedan,Dammam,Toyota,Automatic,Gulf Arabic,Full,2014,2.0,120000,45000
Expedition,SUV,Jeddah,Ford,Automatic,Saudi,Standard,2018,3.5,55000,143000
ZS,SUV,Riyadh,MG,Automatic,Saudi,Full,2020,1.5,33000,55000
Senta fe,SUV,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2014,3.0,11111,49000
Sunny,Sedan,Riyadh,Nissan,Automatic,Saudi,Standard,2019,1.5,93049,29500
Datsun,Sedan,Dammam,Nissan,Manual,Saudi,Full,2015,2.4,205000,30000
Camry,Sedan,Riyadh,Toyota,Automatic,Saudi,Standard,2019,2.5,88000,70000
Elantra,Sedan,Aseer,Hyundai,Automatic,Saudi,Semi Full,2013,2.0,300000,20000
G70,Sedan,Riyadh,Genesis,Automatic,Saudi,Semi Full,2019,2.0,11000,109000
CT4,Sedan,Jeddah,Cadillac,Automatic,Gulf Arabic,Semi Full,2020,3.7,100,159000
Yaris,Hatchback,Dammam,Toyota,Automatic,Saudi,Standard,2016,1.5,180000,28500
Flying Spur,Sedan,Dammam,Bentley,Automatic,Saudi,Full,2015,6.0,47000,310000
X,Sedan,Dammam,BMW,Automatic,Gulf Arabic,Semi Full,2020,2.0,22000,130000
LX,SUV,Qassim,Lexus,Automatic,Gulf Arabic,Full,2014,5.7,88000,207000
Sentra,Sedan,Aseer,Nissan,Automatic,Saudi,Semi Full,2020,1.6,7000,55000
Explorer,SUV,Dammam,Ford,Automatic,Saudi,Standard,2014,3.5,150000,50000
Tahoe,SUV,Riyadh,Chevrolet,Automatic,Saudi,Standard,2016,5.3,139000,110000
Taurus,Sedan,Riyadh,Ford,Automatic,Saudi,Standard,2018,3.5,81165,74000
Elantra,Sedan,Dammam,Hyundai,Automatic,Saudi,Standard,2016,1.6,141000,36000
Sunny,Sedan,Jeddah,Nissan,Automatic,Saudi,Standard,2018,1.5,106000,24500
Sonata,Sedan,Riyadh,Hyundai,Automatic,Saudi,Full,2016,2.4,136000,42500
Accord,Sedan,Riyadh,Honda,Automatic,Gulf Arabic,Standard,2015,2.4,221000,48000
Rio,Hatchback,Dammam,Kia,Automatic,Saudi,Standard,2019,1.4,65000,35000
Camry,Sedan,Dammam,Toyota,Automatic,Saudi,Standard,2015,2.5,179622,48000
Patrol,SUV,Al-Medina,Nissan,Automatic,Saudi,Full,2015,4.0,77000,166000
Range Rover,SUV,Dammam,Land Rover,Automatic,Saudi,Full,2015,2.0,113000,100000
Expedition,SUV,Riyadh,Ford,Automatic,Saudi,Standard,2012,5.4,195000,45000
Azera,Sedan,Riyadh,Hyundai,Automatic,Saudi,Standard,2021,3.5,9000,122000
X,Sedan,Riyadh,BMW,Automatic,Other,Standard,2020,3.0,55000,266000
Armada,SUV,Riyadh,Nissan,Automatic,Saudi,Standard,2007,5.6,240000,30000
Tahoe,SUV,Dammam,Chevrolet,Automatic,Saudi,Full,2021,5.3,800,310000
Carnival,Minivan,Riyadh,Kia,Automatic,Saudi,Standard,2015,3.3,89000,38000
Altima,Sedan,Qassim,Nissan,Automatic,Gulf Arabic,Semi Full,2018,2.5,78592,64000
S,Sedan,Jeddah,Mercedes,Automatic,Saudi,Full,2018,4.5,83000,315000
Mustang,Sports Car,Dammam,Ford,Automatic,Other,Full,2016,2.3,84000,99000
CX9,SUV,Dammam,Mazda,Automatic,Other,Full,2017,3.0,93000,111000
Furniture,Other,Riyadh,Toyota,Automatic,Gulf Arabic,Semi Full,2016,2.7,211000,69000
Range Rover,SUV,Dammam,Land Rover,Automatic,Gulf Arabic,Full,2016,5.0,56500,320000
Sierra,Pickup,Jeddah,GMC,Automatic,Saudi,Full,2016,5.3,161,80000
Challenger,Sports Car,Riyadh,Dodge,Automatic,Saudi,Full,2014,5.7,155000,68000
CX9,SUV,Jeddah,Mazda,Automatic,Saudi,Full,2019,2.5,33501,127000
Sportage,SUV,Aseer,Kia,Automatic,Other,Standard,2014,1.2,150000,33000
Impala,Sedan,Taef,Chevrolet,Automatic,Saudi,Semi Full,2018,3.6,35000,85000
Taurus,Sedan,Riyadh,Ford,Automatic,Saudi,Standard,2018,2.0,82000,77000
S,Sedan,Riyadh,Mercedes,Automatic,Other,Semi Full,2006,4.3,235115,15000
Yukon,SUV,Riyadh,GMC,Automatic,Saudi,Semi Full,2016,5.3,55106,150000
Pajero,SUV,Jeddah,Mitsubishi,Automatic,Saudi,Full,2017,3.5,54000,73000
FJ,SUV,Riyadh,Toyota,Automatic,Other,Full,2014,4.0,149000,75000
Accord,Sedan,Qassim,Honda,Automatic,Gulf Arabic,Standard,2016,2.4,130000,61000
Taurus,Sedan,Riyadh,Ford,Automatic,Saudi,Standard,2019,2.0,85828,80500
X7,SUV,Riyadh,Geely,Automatic,Saudi,Full,2019,2.4,32000,59500
Impala,Sedan,Jeddah,Chevrolet,Automatic,Saudi,Full,2015,3.5,200007,45000
Yukon,SUV,Riyadh,GMC,Automatic,Saudi,Semi Full,2015,5.3,101060,125000
S,Sedan,Riyadh,Mercedes,Automatic,Other,Full,2016,4.7,95061,236500
CLS,Sedan,Jeddah,Mercedes,Automatic,Saudi,Full,2014,3.5,130,100000
Wrangler,SUV,Riyadh,Jeep,Automatic,Saudi,Semi Full,2019,3.6,26000,148000
Suburban,SUV,Riyadh,Chevrolet,Automatic,Other,Full,2017,5.3,153000,162000
Megane,Sedan,Jeddah,Renault,Automatic,Gulf Arabic,Standard,2020,1.6,6400,42000
Senta fe,SUV,Dammam,Hyundai,Automatic,Gulf Arabic,Semi Full,2015,1.6,158000,54000
Patrol,SUV,Jazan,Nissan,Automatic,Saudi,Semi Full,2014,5.6,190000,105000
CX5,SUV,Riyadh,Mazda,Automatic,Gulf Arabic,Standard,2020,2.5,4000,83500
Eado,Sedan,Riyadh,Changan,Automatic,Saudi,Semi Full,2020,1.6,64695,42000
Elantra,Sedan,Jeddah,Hyundai,Automatic,Saudi,Standard,2017,2.0,137000,39000
Sierra,Pickup,Riyadh,GMC,Automatic,Other,Semi Full,2011,5.3,258000,50000
FJ,SUV,Riyadh,Toyota,Automatic,Saudi,Full,2013,1.0,296000,79000
E,Sedan,Dammam,Mercedes,Automatic,Saudi,Full,2014,4.0,161000,95000
Range Rover,SUV,Riyadh,Land Rover,Automatic,Saudi,Standard,2016,4.0,106000,237000
Senta fe,SUV,Makkah,Hyundai,Automatic,Saudi,Semi Full,2017,3.3,147,65000
Challenger,Sports Car,Jeddah,Dodge,Automatic,Saudi,Full,2013,6.4,249000,70000
Accent,Sedan,Al-Medina,Hyundai,Automatic,Saudi,Standard,2011,1.8,285205,14000
Sonata,Sedan,Riyadh,Hyundai,Automatic,Gulf Arabic,Semi Full,2019,2.4,28000,68000
Navara,Pickup,Jeddah,Nissan,Automatic,Saudi,Full,2015,2.5,129000,40000
Sonata,Sedan,Jeddah,Hyundai,Automatic,Saudi,Standard,2017,2.4,139000,43000
The 7,Sedan,Al-Ahsa,BMW,Automatic,Gulf Arabic,Full,2021,2.0,1500,384900
X,Sedan,Jeddah,BMW,Automatic,Saudi,Semi Full,2010,3.0,200,61000
Accent,Sedan,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.4,102650,37500
Prado,SUV,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2019,4.0,82000,149000
Power,Truck,Al-Medina,Great Wall,Automatic,Saudi,Full,2021,2.0,4000,95000
Land Cruiser,SUV,Riyadh,Toyota,Automatic,Saudi,Standard,2020,4.0,560,191500
B50,Sedan,Jeddah,FAW,Automatic,Saudi,Full,2016,1.4,89000,25000
Elantra,Sedan,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,1.6,116842,48500
6,Sedan,Al-Ahsa,Mazda,Automatic,Saudi,Standard,2018,2.5,188000,59000
Taurus,Sedan,Dammam,Ford,Automatic,Other,Semi Full,2015,3.5,103000,78000
Tahoe,SUV,Abha,Chevrolet,Automatic,Saudi,Standard,2016,5.3,217000,87000
LX,SUV,Dammam,Lexus,Automatic,Saudi,Full,2021,5.7,14000,445000
Acadia,SUV,Jeddah,GMC,Automatic,Saudi,Full,2008,3.6,229000,19000
Camry,Sedan,Abha,Toyota,Automatic,Saudi,Standard,2009,1.6,300000,24000
Accent,Sedan,Al-Ahsa,Hyundai,Automatic,Saudi,Standard,2020,1.4,2600,45000
Durango,SUV,Jeddah,Dodge,Automatic,Saudi,Standard,2013,3.6,115458,50000
CS75,SUV,Al-Ahsa,Changan,Automatic,Saudi,Full,2020,1.8,46000,62000
Tahoe,SUV,Al-Ahsa,Chevrolet,Automatic,Saudi,Standard,2016,5.2,144000,112000
Echo Sport,SUV,Dammam,Ford,Automatic,Gulf Arabic,Standard,2020,1.5,2819,59000
Suburban,SUV,Al-Baha,Chevrolet,Automatic,Saudi,Full,2015,5.3,70000,160000
Corolla,Sedan,Dammam,Toyota,Automatic,Saudi,Standard,2018,1.6,40000,42000
Range Rover,SUV,Riyadh,Land Rover,Automatic,Gulf Arabic,Full,2020,5.0,65000,435000
Range Rover,SUV,Riyadh,Land Rover,Automatic,Other,Full,2019,5.0,28000,450000
Tahoe,SUV,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2016,5.3,123496,130000
Mustang,Sports Car,Jeddah,Ford,Manual,Saudi,Full,2007,2.3,300000,28000
Sportage,SUV,Riyadh,Kia,Automatic,Saudi,Semi Full,2016,2.0,163000,43000
Taurus,Sedan,Riyadh,Ford,Automatic,Saudi,Semi Full,2015,3.6,203000,55000
Grand Cherokee,SUV,Riyadh,Jeep,Automatic,Saudi,Full,2015,5.7,146000,95000
Expedition,SUV,Riyadh,Ford,Automatic,Saudi,Standard,2016,5.4,95000,72000
Tahoe,SUV,Al-Jouf,Chevrolet,Automatic,Saudi,Semi Full,2014,5.3,157000,68500
Patrol,SUV,Riyadh,Nissan,Automatic,Saudi,Standard,2015,5.7,190000,99000
Altima,Sedan,Riyadh,Nissan,Automatic,Saudi,Semi Full,2014,2.5,139337,36500
Hilux,Pickup,Dammam,Toyota,Manual,Saudi,Full,2016,2.7,28000,94000
6,Sedan,Qassim,Mazda,Automatic,Other,Standard,2016,2.5,122000,53000
Accent,Sedan,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,1.4,95000,28000
Tahoe,SUV,Riyadh,Chevrolet,Automatic,Saudi,Standard,2019,5.3,40000,145000
Emgrand,Sedan,Qassim,Geely,Automatic,Saudi,Full,2020,2.4,37000,58000
Taurus,Sedan,Dammam,Ford,Automatic,Saudi,Standard,2018,2.0,95000,75000
Town Car,Sedan,Jeddah,Lincoln,Automatic,Saudi,Semi Full,2005,5.0,286,14000
Yaris,Hatchback,Dammam,Toyota,Automatic,Saudi,Standard,2016,1.5,166000,28500
3,Sedan,Al-Medina,Mazda,Automatic,Saudi,Standard,2018,1.8,54000,54000
Sonata,Sedan,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,2.4,110900,57000
G80,Sedan,Riyadh,Genesis,Automatic,Saudi,Semi Full,2018,3.8,97000,98000
Hilux,Pickup,Riyadh,Toyota,Manual,Gulf Arabic,Semi Full,2020,2.7,49000,103000
Charger,Sedan,Riyadh,Dodge,Automatic,Saudi,Full,2016,6.2,99000,215000
Colorado,Pickup,Dammam,Chevrolet,Manual,Saudi,Standard,2013,1.4,196000,28000
S,Sedan,Riyadh,Mercedes,Automatic,Other,Full,2015,1.6,90000,225000
Sonata,Sedan,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2020,2.5,44000,88000
C300,Sedan,Qassim,Chrysler,Automatic,Other,Full,2016,3.6,121000,72000
Camry,Sedan,Makkah,Toyota,Automatic,Saudi,Full,2020,2.5,1700,115000
C,Sedan,Riyadh,Mercedes,Automatic,Gulf Arabic,Full,2020,2.0,50000,150000
G80,Sedan,Riyadh,Genesis,Automatic,Saudi,Semi Full,2019,3.8,35000,220000
Explorer,SUV,Riyadh,Ford,Automatic,Gulf Arabic,Full,2016,3.5,76677,111500
Pajero,SUV,Riyadh,Mitsubishi,Automatic,Gulf Arabic,Full,2018,3.5,56000,76000
F150,Pickup,Qassim,Ford,Automatic,Gulf Arabic,Full,2020,5.0,2061,155000
GLE,SUV,Aseer,Mercedes,Automatic,Saudi,Semi Full,2016,3.0,71000,138000
CX9,SUV,Riyadh,Mazda,Automatic,Saudi,Full,2020,4.0,51000,130000
C,Sedan,Dammam,Mercedes,Automatic,Other,Full,2016,2.0,99000,129000
Land Cruiser,SUV,Jeddah,Toyota,Automatic,Saudi,Full,2016,5.7,1918,251500
Avalon,Sedan,Al-Medina,Toyota,Automatic,Saudi,Full,2014,3.8,156000,73000
Pajero,SUV,Jeddah,Mitsubishi,Automatic,Saudi,Full,2018,3.8,60000,85000
Hilux,Pickup,Dammam,Toyota,Manual,Saudi,Standard,2015,2.7,239900,46000
Cerato,Sedan,Tabouk,Kia,Automatic,Saudi,Semi Full,2014,1.6,223,24000
Maxima,Sedan,Riyadh,Nissan,Automatic,Saudi,Full,2016,3.5,155000,65000
Rio,Hatchback,Jeddah,Kia,Automatic,Saudi,Standard,2019,1.4,79000,31000
Hilux,Pickup,Dammam,Toyota,Manual,Gulf Arabic,Standard,2016,2.7,182774,62000
Land Cruiser,SUV,Riyadh,Toyota,Manual,Saudi,Full,2015,4.0,136000,140000
Challenger,Sports Car,Jeddah,Dodge,Automatic,Saudi,Full,2013,5.7,173,38000
Prado,SUV,Jeddah,Toyota,Automatic,Gulf Arabic,Standard,2018,4.0,90000,138000
LX,SUV,Dammam,Lexus,Automatic,Saudi,Full,2021,5.7,9100,459000
Impala,Sedan,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2016,3.6,51000,62000
Accent,Sedan,Hafar Al-Batin,Hyundai,Automatic,Saudi,Semi Full,2018,1.4,51000,35000
Rav4,SUV,Riyadh,Toyota,Automatic,Saudi,Standard,2018,2.5,133578,77500
Sonata,Sedan,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2017,2.4,226000,41000
Traverse,SUV,Jeddah,Chevrolet,Automatic,Saudi,Semi Full,2011,2.5,65000,35000
Senta fe,SUV,Riyadh,Hyundai,Automatic,Saudi,Standard,2016,3.3,134000,48000
Duster,SUV,Dammam,Renault,Automatic,Saudi,Standard,2017,2.0,124000,27000
Tucson,SUV,Jeddah,Hyundai,Automatic,Saudi,Standard,2017,1.6,17005,70000
Taurus,Sedan,Jeddah,Ford,Automatic,Saudi,Semi Full,2019,2.0,89500,76000
Hilux,Pickup,Riyadh,Toyota,Manual,Saudi,Standard,2018,2.7,16700,72000
Prado,SUV,Khobar,Toyota,Automatic,Saudi,Semi Full,2018,4.0,74000,150000
3,Sedan,Riyadh,Mazda,Automatic,Saudi,Standard,2015,1.6,200000,25000
Tahoe,SUV,Dammam,Chevrolet,Automatic,Saudi,Standard,2015,5.3,199000,97000
Van,Van,Tabouk,Ford,Automatic,Other,Semi Full,2013,3.6,186,45000
Range Rover,SUV,Makkah,Land Rover,Automatic,Saudi,Full,2004,5.3,300000,22000
Innova,MPV,Dammam,Toyota,Automatic,Saudi,Standard,2015,2.7,230000,45000
Pajero,SUV,Jeddah,Mitsubishi,Automatic,Gulf Arabic,Full,2016,3.8,193000,58000
Accent,Sedan,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,1.4,65000,30000
Tahoe,SUV,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2016,5.3,131929,116500
2,Hatchback,Riyadh,Mazda,Automatic,Saudi,Standard,2011,1.5,37000,14000
Hilux,Pickup,Dammam,Toyota,Manual,Saudi,Semi Full,2017,2.7,150000,70000
C300,Sedan,Dammam,Chrysler,Automatic,Other,Full,2013,5.7,178000,45000
Hiace,Van,Dammam,Toyota,Manual,Saudi,Standard,2016,2.4,205812,65000
Cerato,Sedan,Riyadh,Kia,Automatic,Other,Semi Full,2014,1.6,187,25000
GX,SUV,Dammam,Lexus,Automatic,Saudi,Full,2015,4.6,170000,135000
Silverado,Pickup,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2014,5.3,213000,70000
Yaris,Hatchback,Dammam,Toyota,Automatic,Saudi,Standard,2019,1.5,112000,39500
Hilux,Pickup,Dammam,Toyota,Manual,Saudi,Standard,2018,2.7,88000,79500
Range Rover,SUV,Jeddah,Land Rover,Automatic,Saudi,Full,2009,5.0,195000,45000
Camry,Sedan,Dammam,Toyota,Automatic,Saudi,Standard,2017,2.5,135000,60000
Elantra,Sedan,Riyadh,Hyundai,Automatic,Saudi,Full,2014,2.0,290000,33500
Marquis,Sedan,Jeddah,Ford,Automatic,Saudi,Semi Full,2005,4.6,270000,15000
Charger,Sedan,Taef,Dodge,Automatic,Other,Full,2013,5.7,175,38000
Tahoe,SUV,Riyadh,Chevrolet,Automatic,Saudi,Standard,2019,5.3,117000,145000
i40,Sedan,Jeddah,Hyundai,Automatic,Saudi,Full,2015,2.0,48000,47000
Pajero,SUV,Riyadh,Mitsubishi,Automatic,Saudi,Full,2016,3.5,132000,56000
C300,Sedan,Dammam,Chrysler,Automatic,Saudi,Semi Full,2008,6.0,212,12500
Accent,Sedan,Jeddah,Hyundai,Automatic,Saudi,Standard,2019,1.4,83000,37000
F-Pace,SUV,Riyadh,Jaguar,Automatic,Saudi,Full,2019,2.5,27000,185000
XF,Sedan,Riyadh,Jaguar,Automatic,Saudi,Semi Full,2009,6.0,50000,35000
The 4,Sedan,Jeddah,BMW,Automatic,Saudi,Full,2016,2.0,110000,120000
C,Sedan,Dammam,Mercedes,Automatic,Saudi,Semi Full,2019,2.0,44000,185000
Land Cruiser,SUV,Qassim,Toyota,Automatic,Saudi,Full,2019,4.6,110000,250000
Furniture,Other,Jeddah,Toyota,Automatic,Saudi,Full,2017,4.0,102000,116500
C,Sedan,Dammam,Mercedes,Automatic,Saudi,Full,2017,4.0,80000,270000
Corolla,Sedan,Riyadh,Toyota,Automatic,Saudi,Standard,2016,1.6,270000,33000
Innova,MPV,Dammam,Toyota,Automatic,Saudi,Semi Full,2014,2.7,141000,55000
Yukon,SUV,Riyadh,GMC,Automatic,Saudi,Full,2015,5.3,166616,135000
H6,SUV,Dammam,HAVAL,Automatic,Saudi,Standard,2020,2.0,20000,57000
Tucson,SUV,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2020,2.0,44000,64000
Sierra,Pickup,Riyadh,GMC,Automatic,Saudi,Full,2014,6.2,118000,100000
Azera,Sedan,Riyadh,Hyundai,Automatic,Saudi,Full,2016,3.0,91747,66500
Range Rover,SUV,Riyadh,Land Rover,Automatic,Saudi,Full,2017,5.0,150000,115000
LX,SUV,Jeddah,Lexus,Automatic,Saudi,Full,2015,5.7,105000,213000
Sonata,Sedan,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,2.4,127000,43000
Accent,Sedan,Dammam,Hyundai,Automatic,Saudi,Standard,2018,1.4,65700,32000
Echo Sport,SUV,Riyadh,Ford,Automatic,Gulf Arabic,Semi Full,2020,2.0,2400,55000
Silverado,Pickup,Riyadh,Chevrolet,Automatic,Gulf Arabic,Full,2017,5.3,110000,107000
Elantra,Sedan,Dammam,Hyundai,Automatic,Saudi,Standard,2019,1.6,73000,48500
A8,Sedan,Riyadh,Audi,Automatic,Other,Full,2013,4.0,100000,108000
Caprice,Sedan,Abha,Chevrolet,Automatic,Other,Standard,2013,6.0,215,42000
Senta fe,SUV,Jazan,Hyundai,Automatic,Saudi,Semi Full,2015,3.3,122,45000
H2,SUV,Qassim,HAVAL,Automatic,Saudi,Full,2020,1.5,15000,49000
LX,SUV,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2020,5.7,27000,418000
Grand Cherokee,SUV,Aseer,Jeep,Automatic,Saudi,Full,2020,3.6,27150,165000
CT-S,Sedan,Al-Medina,Cadillac,Automatic,Saudi,Semi Full,2013,3.8,137000,45000
Mustang,Sports Car,Dammam,Ford,Automatic,Other,Full,2018,2.3,81000,119000
B50,Sedan,Yanbu,FAW,Automatic,Other,Semi Full,2016,1.8,125000,20000
Charger,Sedan,Taef,Dodge,Automatic,Saudi,Semi Full,2018,1.6,5000,125000
Furniture,Other,Riyadh,Toyota,Automatic,Saudi,Full,2019,4.0,113000,105000
Camry,Sedan,Riyadh,Toyota,Automatic,Saudi,Standard,2014,2.5,220,46000
6,Sedan,Riyadh,MG,Automatic,Gulf Arabic,Full,2014,1.8,79000,23000
Spark,Hatchback,Riyadh,Chevrolet,Automatic,Saudi,Standard,2017,1.4,101000,21000
Taurus,Sedan,Dammam,Ford,Automatic,Other,Full,2016,3.5,129000,74000
Bus Urvan,Bus,Dammam,Nissan,Manual,Saudi,Standard,2016,2.5,106000,65000
Previa,Minivan,Riyadh,Toyota,Automatic,Gulf Arabic,Semi Full,2017,3.0,101000,65000
Durango,SUV,Al-Namas,Dodge,Automatic,Saudi,Semi Full,2014,3.6,244000,52000
Sonata,Sedan,Al-Medina,Hyundai,Automatic,Saudi,Full,2018,2.4,97000,65000
Malibu,Sedan,Khobar,Chevrolet,Automatic,Saudi,Full,2015,2.4,175500,32000
Cadenza,Sedan,Riyadh,Kia,Automatic,Saudi,Standard,2018,1.0,74000,60000
Carnival,Minivan,Riyadh,Kia,Automatic,Other,Standard,2014,6.0,259066,40000
Hilux,Pickup,Riyadh,Toyota,Manual,Saudi,Semi Full,2018,2.7,75335,78000
Sunny,Sedan,Riyadh,Nissan,Automatic,Saudi,Standard,2019,1.5,123291,29500
Pajero,SUV,Jubail,Mitsubishi,Automatic,Saudi,Semi Full,2011,6.0,140000,38000
Rio,Hatchback,Al-Ahsa,Kia,Automatic,Other,Standard,2014,1.4,196,18000
Elantra,Sedan,Makkah,Hyundai,Automatic,Saudi,Standard,2012,1.8,222000,17500
Yukon,SUV,Al-Baha,GMC,Automatic,Saudi,Standard,2013,3.5,157000,72000
Sonata,Sedan,Makkah,Hyundai,Automatic,Gulf Arabic,Semi Full,2017,2.0,130,40000
Sunny,Sedan,Riyadh,Nissan,Automatic,Saudi,Standard,2019,1.5,99104,26800
Camry,Sedan,Riyadh,Toyota,Automatic,Saudi,Full,2017,1.4,13400,65000
Odyssey,Minivan,Dammam,Honda,Automatic,Other,Standard,2009,3.5,200000,38000
Furniture,Other,Riyadh,Toyota,Automatic,Gulf Arabic,Standard,2015,2.7,243000,50000
Durango,SUV,Tabouk,Dodge,Automatic,Other,Full,2013,5.7,275000,40000
Accord,Sedan,Dammam,Honda,Automatic,Saudi,Full,2009,2.4,159000,36000
Corolla,Sedan,Riyadh,Toyota,Automatic,Saudi,Standard,2018,1.6,28000,54000
Datsun,Sedan,Riyadh,Nissan,Manual,Other,Full,2014,2.0,240000,30000
The 7,Sedan,Jeddah,BMW,Automatic,Saudi,Semi Full,2012,2.0,197000,50000
Elantra,Sedan,Dammam,Hyundai,Automatic,Saudi,Standard,2020,2.0,142000,53000
