Type,Car_Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
Malibu,Sedan,Aseer,Chevrolet,Automatic,Saudi,Semi Full,2015,2.5,190217,27000
Land Cruiser Pickup,Pickup,Tabouk,Toyota,Manual,Saudi,Semi Full,2015,4.0,96000,95000
Rio,Hatchback,Jeddah,Kia,Automatic,Other,Standard,2017,1.4,147000,26000
Maxima,Sedan,Dammam,Nissan,Automatic,Other,Semi Full,2011,3.5,34000,20000
X-Trail,SUV,Riyadh,Nissan,Automatic,Saudi,Standard,2018,2.5,30507,69500
Cruze,Sedan,Taef,Chevrolet,Automatic,Saudi,Standard,2013,1.8,175,15000
Taurus,Sedan,Riyadh,Ford,Automatic,Saudi,Standard,2019,2.0,54000,80000
Sunny,Sedan,Dammam,Nissan,Automatic,Saudi,Standard,2018,1.5,94000,28500
ES,Sedan,Dammam,Lexus,Automatic,Other,Full,2019,3.5,40000,185000
Elantra,Sedan,Taef,Hyundai,Manual,Saudi,Standard,2007,1.6,191700,13000
Land Cruiser,SUV,Riyadh,Toyota,Automatic,Saudi,Semi Full,2005,4.0,446,50000
C,Sedan,Riyadh,Mercedes,Automatic,Other,Full,2017,3.0,210000,210000
Tahoe,SUV,Aseer,Chevrolet,Automatic,Saudi,Semi Full,2011,5.3,275000,40000
S,Sedan,Riyadh,Mercedes,Automatic,Other,Full,2017,3.0,26000,245000
FJ,SUV,Jeddah,Toyota,Automatic,Saudi,Standard,2016,4.0,130,100000
Seven,Sedan,Riyadh,Changan,Automatic,Saudi,Standard,2020,1.5,55531,27500
Expedition,SUV,Riyadh,Ford,Automatic,Saudi,Standard,2016,3.5,70263,89000
Accent,Sedan,Dammam,Hyundai,Automatic,Saudi,Standard,2018,1.4,105500,32000
Malibu,Sedan,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2017,2.5,175000,49000
Land Cruiser,SUV,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2016,4.6,42000,138000
Prado,SUV,Riyadh,Toyota,Automatic,Gulf Arabic,Semi Full,2017,4.0,67357,126000
Range Rover,SUV,Riyadh,Land Rover,Automatic,Gulf Arabic,Full,2016,5.0,58000,250000
